ModeIndex,Multiplicity,RealPart,ImagPart
123,1,-1.03779092564985351e+01,0.00000000000000000e+00
124,1,-1.03970479519725227e+01,0.00000000000000000e+00
125,1,-1.05051856433231006e+01,0.00000000000000000e+00
126,1,-1.05887256535641168e+01,0.00000000000000000e+00
127,1,-1.09064999171834547e+01,0.00000000000000000e+00
128,1,-1.17641407557650570e+01,0.00000000000000000e+00
129,1,-1.58606020564836143e+01,0.00000000000000000e+00
130,1,-1.77781796680572235e+01,0.00000000000000000e+00
131,1,-1.78998360852865055e+01,0.00000000000000000e+00
132,1,-1.79363535001861969e+01,7.52360979016992548e+00
133,1,-1.79363535001861969e+01,-7.52360979016992548e+00
134,1,-1.98496962017259406e+01,0.00000000000000000e+00
135,1,-1.99151612407024423e+01,0.00000000000000000e+00
136,1,-1.99538243230570806e+01,0.00000000000000000e+00
137,1,-2.00000000000000142e+01,0.00000000000000000e+00
138,1,-2.00000000000000533e+01,0.00000000000000000e+00
139,1,-2.00000000000001030e+01,0.00000000000000000e+00
140,1,-2.04648897949472754e+01,0.00000000000000000e+00
141,1,-2.10983725703690581e+01,0.00000000000000000e+00
142,1,-2.18712325324167125e+01,0.00000000000000000e+00
143,1,-2.22362361828991268e+01,0.00000000000000000e+00
144,1,-2.26014034384547742e+01,0.00000000000000000e+00
145,1,-2.33742754522441452e+01,0.00000000000000000e+00
146,1,-3.18859386496048423e+01,3.45415744662167623e-01
147,1,-3.18859386496048423e+01,-3.45415744662167623e-01
148,1,-3.92587444272643253e+01,3.22433020675171420e+01
149,1,-3.92587444272643253e+01,-3.22433020675171420e+01
150,1,-3.98986807823891425e+01,0.00000000000000000e+00
151,1,-4.41050338675572959e+01,0.00000000000000000e+00
152,1,-4.82231639379025836e+01,0.00000000000000000e+00
153,1,-4.86228222177863216e+01,3.00953404447785182e+01
154,1,-4.86228222177863216e+01,-3.00953404447785182e+01
155,1,-4.91132893661983374e+01,0.00000000000000000e+00
156,1,-4.93424091702422771e+01,0.00000000000000000e+00
157,1,-4.93820111139914104e+01,0.00000000000000000e+00
158,1,-4.95207897780915900e+01,0.00000000000000000e+00
159,1,-5.89433585807083915e+01,2.05414736872102388e+01
160,1,-5.89433585807083915e+01,-2.05414736872102388e+01
161,1,-6.63666786975919223e+01,0.00000000000000000e+00
162,1,-7.29448027094008040e+01,0.00000000000000000e+00
163,1,-7.86649240851351550e+01,3.78315497373802785e+01
164,1,-7.86649240851351550e+01,-3.78315497373802785e+01
165,1,-8.46434563850533976e+01,0.00000000000000000e+00
166,1,-9.41622923414469568e+01,0.00000000000000000e+00
167,1,-9.99999999999945430e+01,0.00000000000000000e+00
168,1,-9.99999999999945430e+01,0.00000000000000000e+00
169,1,-9.99999999999945430e+01,0.00000000000000000e+00
170,1,-1.32063616914206619e+02,0.00000000000000000e+00
171,1,-1.35646333677725181e+02,0.00000000000000000e+00
172,1,-1.88117530767458618e+02,0.00000000000000000e+00
173,1,-2.00971626418453042e+02,0.00000000000000000e+00
174,1,-2.51626504909614596e+02,0.00000000000000000e+00
