ModeIndex,Multiplicity,RealPart,ImagPart
43,1,-9.61940654309040744e-01,0.00000000000000000e+00
44,1,-9.99999999999594102e-01,-3.94602696509144838e-13
45,1,-9.99999999999594102e-01,3.94602696509144838e-13
46,1,-9.99999999999916289e-01,0.00000000000000000e+00
47,1,-9.99999999999990452e-01,0.00000000000000000e+00
48,1,-1.00000000000007350e+00,0.00000000000000000e+00
49,1,-1.00000000000025846e+00,-2.47671118105818238e-13
50,1,-1.00000000000025846e+00,2.47671118105818238e-13
51,1,-1.00000000000073230e+00,0.00000000000000000e+00
52,1,-1.06699085563725449e+00,0.00000000000000000e+00
53,1,-1.18202390663349144e+00,0.00000000000000000e+00
54,1,-1.19961828010542693e+00,0.00000000000000000e+00
55,1,-1.21790885276728900e+00,0.00000000000000000e+00
56,1,-1.22539410082132005e+00,0.00000000000000000e+00
57,1,-1.23416631205676519e+00,0.00000000000000000e+00
58,1,-1.23499578469530080e+00,2.63439382532961973e-02
59,1,-1.23499578469530080e+00,-2.63439382532961973e-02
60,1,-1.24406642971304793e+00,0.00000000000000000e+00
61,1,-1.29299097782035433e+00,0.00000000000000000e+00
62,1,-1.42300490590424800e+00,0.00000000000000000e+00
63,1,-1.49886612361411897e+00,0.00000000000000000e+00
64,1,-1.50745361318894044e+00,1.02781690602769302e-01
65,1,-1.50745361318894044e+00,-1.02781690602769302e-01
66,1,-1.55715242733074599e+00,0.00000000000000000e+00
67,1,-1.58351295044634344e+00,0.00000000000000000e+00
68,1,-1.67573352865934266e+00,8.79285500317441016e-02
69,1,-1.67573352865934266e+00,-8.79285500317441016e-02
70,1,-1.67845933407822856e+00,7.20567294818528631e-02
71,1,-1.67845933407822856e+00,-7.20567294818528631e-02
72,1,-1.68039480902797322e+00,1.13073528486558258e-01
73,1,-1.68039480902797322e+00,-1.13073528486558258e-01
74,1,-1.68805850520148537e+00,1.22307008907319117e-01
75,1,-1.68805850520148537e+00,-1.22307008907319117e-01
76,1,-1.69036171274311098e+00,1.30106720507236706e-01
77,1,-1.69036171274311098e+00,-1.30106720507236706e-01
78,1,-1.70084731120402721e+00,0.00000000000000000e+00
79,1,-1.71371944361189499e+00,1.18865975768582072e-01
80,1,-1.71371944361189499e+00,-1.18865975768582072e-01
81,1,-1.75407167896403537e+00,2.70206131277805239e-01
82,1,-1.75407167896403537e+00,-2.70206131277805239e-01
83,1,-1.99999999999910760e+00,0.00000000000000000e+00
84,1,-1.99999999999929701e+00,-2.16104562392065442e-13
85,1,-1.99999999999929701e+00,2.16104562392065442e-13
86,1,-1.99999999999991651e+00,-3.13906759780461550e-13
87,1,-1.99999999999991651e+00,3.13906759780461550e-13
88,1,-2.00000000000047518e+00,-3.48655390352527308e-13
89,1,-2.00000000000047518e+00,3.48655390352527308e-13
90,1,-2.00000000000069456e+00,0.00000000000000000e+00
91,1,-2.04066730275904762e+00,0.00000000000000000e+00
92,1,-2.33749272368279915e+00,0.00000000000000000e+00
93,1,-2.57134825557397928e+00,0.00000000000000000e+00
94,1,-3.42294518788751878e+00,0.00000000000000000e+00
95,1,-4.39207963373823862e+00,0.00000000000000000e+00
96,1,-4.96541680475448910e+00,7.89495681292965018e-02
97,1,-4.96541680475448910e+00,-7.89495681292965018e-02
98,1,-5.02715813386601251e+00,0.00000000000000000e+00
99,1,-5.02737734750964638e+00,0.00000000000000000e+00
100,1,-5.03272081218491873e+00,0.00000000000000000e+00
101,1,-5.04156795963558935e+00,0.00000000000000000e+00
102,1,-5.05679765515315260e+00,0.00000000000000000e+00
103,1,-5.07737829247603756e+00,0.00000000000000000e+00
104,1,-5.11337828032545971e+00,0.00000000000000000e+00
105,1,-5.26026265597295595e+00,0.00000000000000000e+00
106,1,-5.47559482032450973e+00,0.00000000000000000e+00
107,1,-7.87070383177664823e+00,0.00000000000000000e+00
108,1,-9.91907232344286527e+00,0.00000000000000000e+00
109,1,-1.00173462311513966e+01,0.00000000000000000e+00
110,1,-1.00288711553309220e+01,0.00000000000000000e+00
111,1,-1.00327522487482703e+01,0.00000000000000000e+00
112,1,-1.00389840618479607e+01,0.00000000000000000e+00
113,1,-1.00539360908448643e+01,0.00000000000000000e+00
114,1,-1.00677364773584443e+01,0.00000000000000000e+00
115,1,-1.01079166922744399e+01,0.00000000000000000e+00
116,1,-1.01591170360662737e+01,0.00000000000000000e+00
117,1,-1.01950513030706311e+01,0.00000000000000000e+00
118,1,-1.02792716927764509e+01,0.00000000000000000e+00
119,1,-1.03031085403607054e+01,0.00000000000000000e+00
120,1,-1.03716557324564054e+01,0.00000000000000000e+00
121,1,-1.03969667332002409e+01,0.00000000000000000e+00
122,1,-1.04873603769327008e+01,0.00000000000000000e+00
123,1,-1.06708707249744617e+01,0.00000000000000000e+00
124,1,-1.10346359437275066e+01,0.00000000000000000e+00
125,1,-1.16733368652690874e+01,0.00000000000000000e+00
126,1,-1.57028136194026882e+01,0.00000000000000000e+00
127,1,-1.58334930349306919e+01,0.00000000000000000e+00
128,1,-1.58836378570649117e+01,0.00000000000000000e+00
129,1,-1.67398695341298627e+01,5.14372901738189281e+00
130,1,-1.67398695341298627e+01,-5.14372901738189281e+00
131,1,-1.77805724600350850e+01,0.00000000000000000e+00
132,1,-1.79010013293179782e+01,0.00000000000000000e+00
133,1,-2.03605004551860027e+01,0.00000000000000000e+00
134,1,-2.10867996125207533e+01,0.00000000000000000e+00
135,1,-2.14702373308661052e+01,0.00000000000000000e+00
136,1,-2.16938818804010793e+01,0.00000000000000000e+00
137,1,-2.20132469800047268e+01,0.00000000000000000e+00
138,1,-2.25175274375577850e+01,0.00000000000000000e+00
139,1,-2.26043951372394751e+01,0.00000000000000000e+00
140,1,-2.38187734511365257e+01,0.00000000000000000e+00
141,1,-2.43457027964860195e+01,0.00000000000000000e+00
142,1,-3.19928451354109527e+01,1.76658640409805917e-01
143,1,-3.19928451354109527e+01,-1.76658640409805917e-01
144,1,-3.82841420985083616e+01,0.00000000000000000e+00
145,1,-4.21047622279046223e+01,0.00000000000000000e+00
146,1,-4.38748876069022842e+01,0.00000000000000000e+00
147,1,-4.42010859047374822e+01,0.00000000000000000e+00
148,1,-4.82174475184285072e+01,0.00000000000000000e+00
149,1,-4.83472053666322807e+01,0.00000000000000000e+00
150,1,-4.91077861129259574e+01,0.00000000000000000e+00
151,1,-4.93424917846090096e+01,0.00000000000000000e+00
152,1,-4.93582084702637758e+01,0.00000000000000000e+00
153,1,-4.97308009417481998e+01,0.00000000000000000e+00
154,1,-6.67256235253554451e+01,0.00000000000000000e+00
155,1,-7.22238739591880829e+01,0.00000000000000000e+00
156,1,-8.49391523003930473e+01,0.00000000000000000e+00
