Matrix column index,Model name,State variable
84,Grid\Power Plant 10\AVR 10.ElmDsl,"""xr"""
85,Grid\Power Plant 10\GOV 10.ElmDsl,"""x"""
86,Grid\Power Plant 10\GOV 10.ElmDsl,"""x1"""
87,Grid\Power Plant 10\GOV 10.ElmDsl,"""xp"""
88,Grid\Power Plant 10\GOV 10.ElmDsl,"""xr"""
89,Grid\Load 03.ElmLod,"""xu"""
90,Grid\Load 04.ElmLod,"""xu"""
91,Grid\Load 07.ElmLod,"""xu"""
92,Grid\Load 08.ElmLod,"""xu"""
93,Grid\Load 12.ElmLod,"""xu"""
94,Grid\Load 15.ElmLod,"""xu"""
95,Grid\Load 16.ElmLod,"""xu"""
96,Grid\Load 18.ElmLod,"""xu"""
97,Grid\Load 20.ElmLod,"""xu"""
98,Grid\Load 21.ElmLod,"""xu"""
99,Grid\Load 23.ElmLod,"""xu"""
100,Grid\Load 24.ElmLod,"""xu"""
101,Grid\Load 25.ElmLod,"""xu"""
102,Grid\Load 26.ElmLod,"""xu"""
103,Grid\Load 27.ElmLod,"""xu"""
104,Grid\Load 28.ElmLod,"""xu"""
105,Grid\Load 29.ElmLod,"""xu"""
106,Grid\Load 31.ElmLod,"""xu"""
107,Grid\Load 39.ElmLod,"""xu"""
108,Grid\G 01.ElmSym,"""psi1d"""
109,Grid\G 01.ElmSym,"""psifd"""
110,Grid\G 01.ElmSym,"""psi1q"""
111,Grid\G 01.ElmSym,"""psi2q"""
112,Grid\G 01.ElmSym,"""speed"""
113,Grid\G 01.ElmSym,"""phi"""
114,Grid\G 02.ElmSym,"""psi1d"""
115,Grid\G 02.ElmSym,"""psifd"""
116,Grid\G 02.ElmSym,"""psi1q"""
117,Grid\G 02.ElmSym,"""psi2q"""
118,Grid\G 02.ElmSym,"""speed"""
119,Grid\G 02.ElmSym,"""phi"""
120,Grid\G 03.ElmSym,"""psi1d"""
121,Grid\G 03.ElmSym,"""psifd"""
122,Grid\G 03.ElmSym,"""psi1q"""
123,Grid\G 03.ElmSym,"""psi2q"""
124,Grid\G 03.ElmSym,"""speed"""
125,Grid\G 03.ElmSym,"""phi"""
126,Grid\G 04.ElmSym,"""psi1d"""
127,Grid\G 04.ElmSym,"""psifd"""
128,Grid\G 04.ElmSym,"""psi1q"""
129,Grid\G 04.ElmSym,"""psi2q"""
130,Grid\G 04.ElmSym,"""speed"""
131,Grid\G 04.ElmSym,"""phi"""
132,Grid\G 05.ElmSym,"""psi1d"""
133,Grid\G 05.ElmSym,"""psifd"""
134,Grid\G 05.ElmSym,"""psi1q"""
135,Grid\G 05.ElmSym,"""psi2q"""
136,Grid\G 05.ElmSym,"""speed"""
137,Grid\G 05.ElmSym,"""phi"""
138,Grid\G 06.ElmSym,"""psi1d"""
139,Grid\G 06.ElmSym,"""psifd"""
140,Grid\G 06.ElmSym,"""psi1q"""
141,Grid\G 06.ElmSym,"""psi2q"""
142,Grid\G 06.ElmSym,"""speed"""
143,Grid\G 06.ElmSym,"""phi"""
144,Grid\G 07.ElmSym,"""psi1d"""
145,Grid\G 07.ElmSym,"""psifd"""
146,Grid\G 07.ElmSym,"""psi1q"""
147,Grid\G 07.ElmSym,"""psi2q"""
148,Grid\G 07.ElmSym,"""speed"""
149,Grid\G 07.ElmSym,"""phi"""
150,Grid\G 08.ElmSym,"""psi1d"""
151,Grid\G 08.ElmSym,"""psifd"""
152,Grid\G 08.ElmSym,"""psi1q"""
153,Grid\G 08.ElmSym,"""psi2q"""
154,Grid\G 08.ElmSym,"""speed"""
155,Grid\G 08.ElmSym,"""phi"""
156,Grid\G 09.ElmSym,"""psi1d"""
157,Grid\G 09.ElmSym,"""psifd"""
158,Grid\G 09.ElmSym,"""psi1q"""
159,Grid\G 09.ElmSym,"""psi2q"""
160,Grid\G 09.ElmSym,"""speed"""
161,Grid\G 09.ElmSym,"""phi"""
162,Grid\G 10.ElmSym,"""psi1d"""
163,Grid\G 10.ElmSym,"""psifd"""
164,Grid\G 10.ElmSym,"""psi1q"""
165,Grid\G 10.ElmSym,"""speed"""
166,Grid\G 10.ElmSym,"""phi"""
