Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase,Reference_Mode,Reference_Frequency,Reference_Damping,Distance_to_Reference
load03,g8,Current,Tau 0.01,1.1488646572322196,-0.5546581218817038,8.819434282571874e-05,0.9415267353667092,Mode 4,1.1211,-0.3373,0.21912423266075404
load03,g8,Current,Tau 0.01,0.1062822116121956,-0.106338028523679,9.76975497038258e-06,1.41088965158973,Mode 1,0.6062,-0.08,0.5006111134334391
load03,g8,Active Power,Order 6,0.6834073293364287,-0.2260218524051508,0.0612355010548071,-1.6064460652680057,Mode 1,0.6062,-0.08,0.1651767328745045
load03,g8,Active Power,Tau 1,0.6518627784654134,-0.3332877654606726,0.0953241692139971,-1.1599211203852218,Mode 1,0.6062,-0.08,0.25737090253026296
load03,g8,Active Power,Tau 0.1,0.6518627784654134,-0.3332877654606726,0.0953241692139971,-1.1599211203852218,Mode 1,0.6062,-0.08,0.25737090253026296
load03,g8,Active Power,Tau 0.01,1.3666444660084032,-0.9486694949014092,0.0547800415602749,-0.84483345517451,Mode 7,1.4953,-0.7033,0.2770531274951351
load03,g8,Active Power,Tau 0.01,0.6397668549388041,-0.3442663303255869,0.0949875055368445,-0.9759780481382504,Mode 1,0.6062,-0.08,0.2663896152146981
load03,g8,Active Power,Tau 0.01,1.058816636757974,-0.6611296726338408,0.0572844706695943,2.04767698195927,Mode 4,1.1211,-0.3373,0.3297648771698991
load03,g8,Reactive Power,Order 6,0.6441674020092372,-0.3165869564400598,0.0504704669234978,-1.1209552439870534,Mode 1,0.6062,-0.08,0.23961408884475424
load03,g8,Reactive Power,Tau 0.01,0.6401438407644225,-0.3371583282845665,0.0522387338153963,-0.9914540504524384,Mode 1,0.6062,-0.08,0.25938887819633544
load03,g8,Reactive Power,Tau 0.01,0.9867081742208016,-0.4201996503657936,0.0158007986255777,1.8062305251309247,Mode 4,1.1211,-0.3373,0.15790349859023783
load03,g8,Reactive Power,Tau 0.01,0.1249392826164577,-0.3219072691271371,0.0356181050742675,2.2702383730014626,Mode 1,0.6062,-0.08,0.5386381020249782
load03,g9,Voltage,Order 2,0.6735270338987268,-0.2921493368776873,0.0001282478629994,1.242676023017143,Mode 1,0.6062,-0.08,0.22257643772700372
load03,g9,Voltage,Order 4,0.8688907229918296,-0.4458064392109562,0.0001010531280929,-0.7299824348449031,Mode 3,1.0312,-0.2558,0.2498934739935034
load03,g9,Voltage,Order 4,0.5905792478299734,-0.4400838067379979,0.0001428961736847,2.3179031697623347,Mode 1,0.6062,-0.08,0.360422468463448
load03,g9,Voltage,Order 6,0.6394402595224471,-0.3607594908661526,0.0001469874347886,1.7418246942801208,Mode 1,0.6062,-0.08,0.28272036814587814
load03,g9,Voltage,Order 6,0.983250210837068,-0.4416371398051189,9.39941788859028e-05,-1.6739374884808658,Mode 4,1.1211,-0.3373,0.17288378499725685
load03,g9,Voltage,Order 6,0.1252265081830575,-0.3305162807130521,4.402842211386209e-05,-1.9642265090374276,Mode 1,0.6062,-0.08,0.5423042566059049
load03,g9,Voltage,Tau 1,0.6735270338987268,-0.2921493368776873,0.0001282478629994,1.242676023017143,Mode 1,0.6062,-0.08,0.22257643772700372
load03,g9,Voltage,Tau 0.1,0.9855739092238393,-0.4597291096744132,9.845214052761888e-05,-1.6907519263214057,Mode 4,1.1211,-0.3373,0.1826368204298839
load03,g9,Voltage,Tau 0.1,0.6388772001692167,-0.3464354906730003,0.0001411421967698,1.7814922774049389,Mode 1,0.6062,-0.08,0.26843187236440735
load03,g9,Voltage,Tau 0.1,0.2446662164398454,-0.7575741665562428,7.150430661736436e-05,2.6967588216877845,Mode 1,0.6062,-0.08,0.7679931170523
load03,g9,Voltage,Tau 0.01,0.9773305219794002,-0.5259369993655757,0.0001105799819594,-1.5203646208947497,Mode 4,1.1211,-0.3373,0.23717837241191267
load03,g9,Voltage,Tau 0.01,0.637893767943085,-0.3348286954821797,0.0001349909952043,1.804001214638015,Mode 1,0.6062,-0.08,0.25679205394166615
load03,g9,Voltage,Tau 0.01,0.2639175877468074,-0.7492315113390488,5.047336168227343e-05,2.7727038129549872,Mode 1,0.6062,-0.08,0.7516834875843768
load03,g9,Voltage,Tau 0.01,1.1144513662770184,-0.3598260194655853,1.105199500753084e-05,1.9673321952728973,Mode 4,1.1211,-0.3373,0.023486717168354893
load03,g9,Voltage,Tau 0.01,0.1383888996776509,-0.1888803826150706,9.04369571095646e-06,-1.7779289442866515,Mode 1,0.6062,-0.08,0.4803146503108261
load03,g9,Current,Order 4,0.7446730954567903,-0.2495993899349854,0.0002588258960382,-2.4216107327084213,Mode 1,0.6062,-0.08,0.21894919783297814
load03,g9,Current,Order 6,0.8313548832134315,-0.3390739171402431,0.0003115968233196,-3.133202802434559,Mode 3,1.0312,-0.2558,0.2165008452161728
load03,g9,Current,Order 6,0.2817078182952678,-0.5638322111349351,0.0002601561185546,1.0770095369082906,Mode 1,0.6062,-0.08,0.5825708407732207
load03,g9,Current,Tau 0.1,0.9827438703060872,-0.4547710354554019,0.0003834119047203,1.7116354464782604,Mode 4,1.1211,-0.3373,0.1814989333159925
load03,g9,Current,Tau 0.1,0.6411404427209022,-0.3441284450993695,0.0003524363500247,-1.166914772418742,Mode 1,0.6062,-0.08,0.2664294841944924
load03,g9,Current,Tau 0.01,0.9748541892944552,-0.5423875256357462,0.0004507938163203,1.8988425972963976,Mode 4,1.1211,-0.3373,0.25189031406609286
load03,g9,Current,Tau 0.01,0.6384052231763495,-0.3279903857604631,0.0003306499743219,-1.10706526477004,Mode 1,0.6062,-0.08,0.25007280505777063
load03,g9,Current,Tau 0.01,1.107308491765368,-0.4223746076310605,5.893974486212304e-05,-0.918274213745242,Mode 4,1.1211,-0.3373,0.08618523401931924
load03,g9,Active Power,Order 4,0.7785705396499548,-0.2274152831986807,0.1703514112241856,-2.647575411561889,Mode 2,0.9497,-0.1065,0.20953710389979824
load03,g9,Active Power,Order 6,0.8582343304297783,-0.3342682797347068,0.2496691948109984,2.980021690783639,Mode 3,1.0312,-0.2558,0.18993260324230615
load03,g9,Active Power,Order 6,0.1764347367446557,-0.5962951142052878,0.4064075357635506,1.6159628021766577,Mode 1,0.6062,-0.08,0.6717580118265704
load03,g9,Active Power,Tau 0.1,0.984547367827318,-0.4510784663423893,0.3131117758815642,1.7327262353817725,Mode 4,1.1211,-0.3373,0.1777418373836447
load03,g9,Active Power,Tau 0.1,0.6417376732494351,-0.3588552927279622,0.2665697661539734,-1.0786375421055263,Mode 1,0.6062,-0.08,0.2811106552629784
load03,g9,Active Power,Tau 0.01,0.9772847402614512,-0.5214772690219751,0.3568872117370526,1.8862017508776976,Mode 4,1.1211,-0.3373,0.2336751920038994
load03,g9,Active Power,Tau 0.01,0.6380108700322614,-0.3380126089162417,0.2472192757804314,-0.9936389371044124,Mode 1,0.6062,-0.08,0.2599662243676568
load03,g9,Active Power,Tau 0.01,1.1137013875357762,-0.346906102231363,0.0323848766547114,-0.8936353127358994,Mode 4,1.1211,-0.3373,0.012125042947353414
load03,g9,Reactive Power,Order 4,0.135615113550446,-0.0976948640887415,0.0189084584457796,-0.957490168788406,Mode 1,0.6062,-0.08,0.4709174487846661
load03,g9,Reactive Power,Order 6,0.5102197760331969,-0.2063475755630337,0.0192034996672582,1.2483636035748522,Mode 1,0.6062,-0.08,0.1586691943742521
load03,g9,Reactive Power,Order 6,0.1121731221202573,-0.0823577465826006,0.0141798825903451,-0.1294097285680455,Mode 1,0.6062,-0.08,0.49403250402838267
load03,g9,Reactive Power,Tau 1,0.764096303332134,-0.4693420902424883,0.0497806392770424,-1.0685878661714068,Mode 3,1.0312,-0.2558,0.34197164952488435
load03,g9,Reactive Power,Tau 1,0.1649709461657672,-0.3694314023643934,0.0796312147910573,-1.7091625020967,Mode 1,0.6062,-0.08,0.5276870423101856
load03,g9,Reactive Power,Tau 0.1,0.97706330882705,-0.4200416581719178,0.0320714442189087,-2.426818694116061,Mode 4,1.1211,-0.3373,0.1661106570966784
load03,g9,Reactive Power,Tau 0.1,0.6381710923549339,-0.3957710059260616,0.0393740450552231,-0.0051584366669826,Mode 1,0.6062,-0.08,0.3173853791999949
load03,g9,Reactive Power,Tau 0.1,0.1376308213581172,-0.3256498302052558,0.0994189268738481,-1.0208545969680014,Mode 1,0.6062,-0.08,0.5290566266979364
load03,g9,Reactive Power,Tau 0.01,0.9817893328587424,-0.4462451621287088,0.0340828486988893,-2.499862509592038,Mode 4,1.1211,-0.3373,0.1768516619390186
load03,g9,Reactive Power,Tau 0.01,0.6341291089586137,-0.3531196987627645,0.0349509854356235,0.1357648474575612,Mode 1,0.6062,-0.08,0.2745439946155904
load03,g9,Reactive Power,Tau 0.01,0.1282858445197709,-0.2400509634744547,0.0661990641646616,-0.2140634135270549,Mode 1,0.6062,-0.08,0.5040022330481104
load03,g9,Reactive Power,Tau 0.01,0.4079148005298936,-0.617133007303637,0.0128112545807847,0.8396561641361457,Mode 1,0.6062,-0.08,0.5725634356680043
load03,g10,Voltage,Order 2,0.1164953838543096,-0.2565090044872042,7.417944372806789e-05,-2.9953141736998528,Mode 1,0.6062,-0.08,0.5205439844426807
load03,g10,Voltage,Order 4,0.6450628823763463,-0.289458509167157,4.658152671243918e-05,1.6104114430120675,Mode 1,0.6062,-0.08,0.21303330887240546
load03,g10,Voltage,Order 4,0.1184964479180324,-0.1855085760556279,5.332956704762091e-05,-3.0898727887458493,Mode 1,0.6062,-0.08,0.4989857857040165
load03,g10,Voltage,Order 6,0.647461526488263,-0.3154113373620187,5.041779676288818e-05,1.6008379662745629,Mode 1,0.6062,-0.08,0.23900002369605702
load03,g10,Voltage,Order 6,0.1291336378964694,-0.1965281446911818,5.3464935100381976e-05,2.9011199259681764,Mode 1,0.6062,-0.08,0.49109176571784013
load03,g10,Voltage,Tau 1,0.1164953838543096,-0.2565090044872042,7.417944372806789e-05,-2.9953141736998528,Mode 1,0.6062,-0.08,0.5205439844426807
load03,g10,Voltage,Tau 0.1,0.6386805022235316,-0.3339281906371639,5.236729142873596e-05,1.770345643930604,Mode 1,0.6062,-0.08,0.2559970879228056
load03,g10,Voltage,Tau 0.1,0.9817784872747574,-0.4851158082318041,1.459245712335152e-05,-1.572129327275486,Mode 4,1.1211,-0.3373,0.20312556971309997
load03,g10,Voltage,Tau 0.1,0.1283771711849796,-0.2004768438374979,5.49340534678207e-05,2.9305928594548507,Mode 1,0.6062,-0.08,0.4927771561647649
load03,g10,Voltage,Tau 0.01,0.6386805022235316,-0.3339281906371639,5.236729142873596e-05,1.770345643930604,Mode 1,0.6062,-0.08,0.2559970879228056
load03,g10,Voltage,Tau 0.01,0.9817784872747574,-0.4851158082318041,1.459245712335152e-05,-1.572129327275486,Mode 4,1.1211,-0.3373,0.20312556971309997
load03,g10,Voltage,Tau 0.01,0.1283771711849796,-0.2004768438374979,5.49340534678207e-05,2.9305928594548507,Mode 1,0.6062,-0.08,0.4927771561647649
load03,g10,Current,Order 4,0.1599292353013354,-0.2068833307724601,0.0001699664253254,1.8786114399123448,Mode 1,0.6062,-0.08,0.46395794534919255
load03,g10,Current,Order 6,0.6911317151743885,-0.3849321468803609,0.0002414485515229,-1.5377109842812222,Mode 1,0.6062,-0.08,0.31653911360767006
load03,g10,Current,Tau 1,0.6844237296203687,-0.3259241820037721,0.0002094846927071,-1.5124939607566197,Mode 1,0.6062,-0.08,0.2580652149553383
load03,g10,Current,Tau 0.1,1.098009864720887,-0.446008076273349,0.0001446803465865,2.200685599510753,Mode 4,1.1211,-0.3373,0.1111332542232972
load03,g10,Current,Tau 0.1,0.6417306663864367,-0.3431905146393956,0.0002112215098848,-0.9341556656436444,Mode 1,0.6062,-0.08,0.26557800219523864
load03,g10,Current,Tau 0.1,0.1228908522094732,-0.1825182316556933,6.423727228139734e-05,2.961546393129375,Mode 1,0.6062,-0.08,0.49406246584800956
load03,g10,Current,Tau 0.01,1.0979113055300462,-0.4508229632775323,0.0001465842540452,2.203085947504232,Mode 4,1.1211,-0.3373,0.11586707359095945
load03,g10,Current,Tau 0.01,0.6416816430608042,-0.3395717345631154,0.0002085660159982,-0.930706009347642,Mode 1,0.6062,-0.08,0.2619855575759831
load03,g10,Current,Tau 0.01,0.1238790846266113,-0.2083407203825087,7.686032184256808e-05,2.8853273747031345,Mode 1,0.6062,-0.08,0.4991040031044881
load03,g10,Active Power,Order 6,0.8057827166869904,-0.3499752935055923,0.1430486038667217,-2.1012151092502096,Mode 3,1.0312,-0.2558,0.24429886926279876
load03,g10,Reactive Power,Order 4,0.1580092481202209,-0.2119357708039842,0.176769633611977,2.0643248272129724,Mode 1,0.6062,-0.08,0.46720658994517955
load03,g10,Reactive Power,Order 6,0.6431125832171817,-0.327256386923043,0.1453716579510327,-1.2394296715590063,Mode 1,0.6062,-0.08,0.2499965193237756
load03,g10,Reactive Power,Order 6,0.1229124736818231,-0.1916882597096738,0.1701177225998344,2.9671706738467534,Mode 1,0.6062,-0.08,0.49602530222935
load03,g10,Reactive Power,Tau 0.1,0.6480149015623387,-0.3166127637353418,0.1394909657579547,-1.297019640879386,Mode 1,0.6062,-0.08,0.2402791833579113
load03,g10,Reactive Power,Tau 0.1,0.1259813498470599,-0.2227785014282688,0.2024062760823669,2.8220319235985896,Mode 1,0.6062,-0.08,0.5009946630701908
load03,g10,Reactive Power,Tau 0.01,0.6391226462506348,-0.3312673006369656,0.1441591480763882,-1.120014567019027,Mode 1,0.6062,-0.08,0.2534149897017374
load03,g10,Reactive Power,Tau 0.01,0.9688809479121177,-0.4607968570097298,0.0348288539690785,1.9142470705465748,Mode 4,1.1211,-0.3373,0.19601559506787994
load03,g10,Reactive Power,Tau 0.01,0.132123649671241,-0.2177346082956491,0.1732667465160198,2.6094607981140374,Mode 1,0.6062,-0.08,0.4936792564645512
